,region,UF,city,lat,lon,temperature,altitude
0,NE,PI,ANGICAL DO PIAUI,"-6,08944444","-42,72749999",26.531202487906015,-42.72749999
0,S,SC,BOM JARDIM DA SERRA - MORRO DA IGREJA,"-28,126992","-49,47961",11.276056980056982,-49.47961
0,NE,BA,BARREIRAS,"-12,12472221","-45,02694443",25.206682604735885,-45.02694443
0,CO,DF,BRAZLANDIA,"-15,59972221","-48,1311111",21.716199883788494,-48.1311111
0,SE,RJ,SANTA MARIA MADALENA,"-21,95055555","-42,01027777",20.06456836583419,-42.01027777
0,S,SC,RIO DO CAMPO,"-26,93749999","-50,14555555",15.809783702213279,-50.14555555
0,CO,GO,SILVANIA,"-16,679786","-48,618171",22.082648297848117,-48.618171
0,NE,BA,IPIAU,"-14,17138888","-39,69249999",23.8996712605892,-39.69249999
0,NE,PI,TERESINA,"-5,03472221","-42,80138888",29.074597869229162,-42.80138888
0,S,PR,DOIS VIZINHOS,"-25,69916666","-53,09527777",20.49936475107106,-53.09527777
0,CO,MT,PONTES E LACERDA,"-15,234582","-59,346215",24.88941407604299,-59.346215
0,NE,PI,URUCUI,"-7,44142","-44,345055",26.137224517906336,-44.345055
0,S,PR,LARANJEIRAS DO SUL,"-25,36888888","-52,39194444",18.75652494470386,-52.39194444
0,NE,BA,JEREMOABO,"-10,08083332","-38,34583333",25.665425592851417,-38.34583333
0,S,SC,XANXERE,"-26,938666","-52,39809",19.060974499089255,-52.39809
0,SE,RJ,SILVA JARDIM,"-22,64583333","-42,41555555",22.99427367941712,-42.41555555
0,NE,AL,SAO LUIS DO QUITUNDE,"-9,287481","-35,565878",25.72142968872204,-35.565878
0,S,SC,CACADOR,"-26,819156","-50,98552",16.813308899324248,-50.98552
0,N,AC,FEIJO,"-8,142654","-70,343594",25.50196728811621,-70.343594
0,NE,BA,ITIRUCU,"-13,527828","-40,119752",20.994364754098363,-40.119752
0,S,PR,FOZ DO IGUACU,"-25,60194444","-54,48305554",24.86954703832752,-54.48305554
0,CO,MT,CACERES,"-16,07472221","-57,69305555",26.955630194694294,-57.69305555
0,SE,SP,CASA BRANCA,"-21,78056","-47,07528",21.954068801897986,-47.07528
0,N,PA,ALTAMIRA,"-3,27027777","-52,39472221",25.306280875088216,-52.39472221
0,SE,ES,SANTA TERESA,"-19,988388","-40,579572",18.306807832422585,-40.579572
0,S,SC,MAJOR VIEIRA,"-26,3936111","-50,36333333",17.16437841530055,-50.36333333
0,NE,BA,IBOTIRAMA,"-12,19305555","-43,21333333",26.56034460588916,-43.21333333
0,CO,GO,EDEIA,"-17,33694444","-49,91472222",25.78410769230769,-49.91472222
0,CO,MT,CAMPO VERDE,"-15,53138888","-55,13555555",23.91388473053892,-55.13555555
0,S,SC,JOACABA,"-27,16916666","-51,55888888",18.91732188218217,-51.55888888
0,S,RS,CANGUCU,"-31,403299","-52,700699",19.735806650246307,-52.700699
0,SE,SP,CAMPOS DO JORDAO,"-22,75027777","-45,60388888",14.872226988601545,-45.60388888
0,SE,RJ,RIO DE JANEIRO - JACAREPAGUA,"-22,939883","-43,402897",23.212568107519072,-43.402897
0,S,SC,SAO JOAQUIM,"-28,27564","-49,934617",14.1400501196036,-49.934617
0,NE,BA,FORMOSO DO RIO PRETO,"-11,052164","-45,200769",25.086658915855253,-45.200769
0,CO,MT,CUIABA,"-15,559295","-56,062951",28.58174705126708,-56.062951
0,SE,MG,SAO SEBASTIAO DO PARAISO,"-20,909892","-47,114259",21.113570127504556,-47.114259
0,N,AM,MAUES,"-3,39888888","-57,67388888",26.162481962481962,-57.67388888
0,S,RS,SAO GABRIEL,"-30,341438","-54,310909",19.465960837887067,-54.310909
0,SE,MG,SAO ROMAO,"-16,362747","-45,123801",25.75128449096099,-45.123801
